LIGHT,idx
2000,0
1800,1
1620,2
1458,3
1312.2,4
1180.98,5
1062.882,6
956.5938,7
860.93442,8
774.840978,9
697.3568802,10
627.6211922,11
564.859073,12
508.3731657,13
457.5358491,14
411.7822642,15
370.6040378,16
333.543634,17
300.1892706,18
270.1703435,19
243.1533092,20
218.8379783,21
196.9541804,22
177.2587624,23
159.5328862,24
143.5795975,25
129.2216378,26
116.299474,27
104.6695266,28
94.20257394,29
84.78231655,30
76.3040849,31
68.67367641,32
61.80630877,33
55.62567789,34
50.0631101,35
45.05679909,36
40.55111918,37
36.49600726,38
32.84640654,39
29.56176588,40
26.60558929,41
23.94503037,42
21.55052733,43
19.3954746,44
17.45592714,45
15.71033442,46
14.13930098,47
12.72537088,48
11.45283379,49
10.30755041,50
9.276795373,51
8.349115836,52
7.514204252,53
6.762783827,54
6.086505444,55
5.4778549,56
4.93006941,57
4.437062469,58
3.993356222,59
3.5940206,60
3.23461854,61
2.911156686,62
2.620041017,63
2.358036916,64
2.122233224,65
1.910009902,66
1.719008911,67
1.54710802,68
1.392397218,69
1.253157496,70
1.127841747,71
1.015057572,72
2000,73
1600,74
1280,75
1024,76
819.2,77
655.36,78
524.288,79
419.4304,80
335.54432,81
268.435456,82
214.7483648,83
171.7986918,84
137.4389535,85
109.9511628,86
87.96093022,87
70.36874418,88
56.29499534,89
45.03599627,90
36.02879702,91
28.82303762,92
23.05843009,93
18.44674407,94
14.75739526,95
11.80591621,96
9.444732966,97
7.555786373,98
6.044629098,99
4.835703278,100
3.868562623,101
3.094850098,102
2.475880079,103
1.980704063,104
1.58456325,105
1.2676506,106
1.01412048,107
2000,108
1400,109
980,110
686,111
480.2,112
336.14,113
235.298,114
164.7086,115
115.29602,116
80.707214,117
56.4950498,118
39.54653486,119
27.6825744,120
19.37780208,121
13.56446146,122
9.49512302,123
6.646586114,124
4.65261028,125
3.256827196,126
2.279779037,127
1.595845326,128
1.117091728,129
2000,130
1200,131
720,132
432,133
259.2,134
155.52,135
93.312,136
55.9872,137
33.59232,138
20.155392,139
12.0932352,140
7.25594112,141
4.353564672,142
2.612138803,143
1.567283282,144
2000,145
1000,146
500,147
250,148
125,149
62.5,150
31.25,151
15.625,152
7.8125,153
3.90625,154
1.953125,155
2000,156
800,157
320,158
128,159
51.2,160
20.48,161
8.192,162
3.2768,163
1.31072,164
2000,165
600,166
180,167
54,168
16.2,169
4.86,170
1.458,171
2000,172
400,173
80,174
16,175
3.2,176
2000,177
200,178
20,179
2,180
