原代前,,,ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,,,,,,,,,,,,
,,,0.84,0.7,0.5,0.7,,,,,,,,,,,,
修改后,,,0.9,1,0.5,0.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
修改前,time_axis,NPQ,Phi2,LEF,qL,Z,V,pmf,Dy,pHlumen,fraction_Dy,fraction_DpH,Klumen,Cl_lumen,Cl_stroma,,,
,1200,0.610579781,0.589845326,0,0.4746275,0.060406554,0.939593446,0.098166856,0.006538195,6.272855643,0.066602872,0.933397128,0.086896539,0.048519945,0.039148006,,,
,,,,,,,,,,,,,,,,,,
修改后,1199.05,0.316358689,0.510631233,20.61668927,0.281465746,0.020034442,0.979965558,0.087116837,0.002962021,6.397419727,0.034000552,0.965999448,0.090539283,0.050303271,0.038969673,16075.7825,715,14.03919906
,time_axis,NPQ,Phi2,LEF,qL,Z,V,pmf,Dy,pHlumen,fraction_Dy,fraction_DpH,Klumen,Cl_lumen,Cl_stroma,ATP_made,idx,v_ATP_made
